company_name,company_domain,person_name,designation,leadership_type,confidence,extraction_method,source_url
Sobha Limited,sobha.com,JAGADISH NANGINENI,MANAGING DIRECTOR,Executive Leadership,HIGH,sibling_pair,https://sobha.com/leadership
Sobha Limited,sobha.com,NISANTH M N,DEPUTY MANAGING DIRECTOR,Executive Leadership,HIGH,sibling_pair,https://sobha.com/leadership
Sobha Limited,sobha.com,SUBBA RAO AMARTHALURU,INDEPENDENT DIRECTOR,Board,HIGH,sibling_pair,https://sobha.com/leadership
Sobha Limited,sobha.com,GOPAL B HOSUR,INDEPENDENT DIRECTOR,Board,HIGH,sibling_pair,https://sobha.com/leadership
Sobha Limited,sobha.com,SRIVATHSALA K N,INDEPENDENT DIRECTOR,Board,HIGH,sibling_pair,https://sobha.com/leadership
Sobha Limited,sobha.com,RAMAN MANGALORKAR,INDEPENDENT DIRECTOR,Board,HIGH,sibling_pair,https://sobha.com/leadership
Sobha Limited,sobha.com,HARISH BABU,CEO - INTERIORS DIVISION,CXO,HIGH,sibling_pair,https://sobha.com/leadership
Sobha Limited,sobha.com,MANOJ RASTOGI,CEO - CONCRETE PRODUCTS DIVISION,CXO,HIGH,sibling_pair,https://sobha.com/leadership
Sobha Limited,sobha.com,RAJESH NAIR,CEO- GLAZING & METAL WORKS DIVISION,CXO,HIGH,sibling_pair,https://sobha.com/leadership
Sobha Limited,sobha.com,RAGHU BALAN,CHIEF TECHNOLOGY OFFICER,CXO,HIGH,sibling_pair,https://sobha.com/leadership
Sobha Limited,sobha.com,YOGESH BANSAL,CHIEF FINANCIAL OFFICER,CXO,HIGH,sibling_pair,https://sobha.com/leadership
Sobha Limited,sobha.com,Chairman's Message,About our Founder,Founder,MEDIUM,local_parent,https://sobha.com/leadership
Sobha Limited,sobha.com,Chairman's Message,Chairman's Message,Board,MEDIUM,local_parent,https://sobha.com/leadership
Sobha Limited,sobha.com,CHAIRMAN’S MESSAGE,ABOUT OUR FOUNDER CHAIRMAN’S MESSAGE OUR LEADERSHIP,Board,MEDIUM,local_parent,https://sobha.com/leadership
Sobha Limited,sobha.com,CHAIRMAN’S MESSAGE,ABOUT OUR FOUNDER,Founder,MEDIUM,local_parent,https://sobha.com/leadership
Sobha Limited,sobha.com,CHAIRMAN’S MESSAGE,CHAIRMAN’S MESSAGE,Board,MEDIUM,local_parent,https://sobha.com/leadership
